;Author;Date;Rating;Helpful count;Review
27;Michael Kitazume;14/07/18;1;2;Poor food and service. I went there with a friend, it was pretty empty and the waiter brought us to a table where the seats have oil and water on it, although they apologised and cleaned it up for us, I still feel like they didn’t do their job well as the store was not crowded at that time. The ramen was expensive but the portion couldn’t even make you full, it has a weird aftertaste after you drink the broth, doesn’t worth the price. My friend ordered chicken wings but the chicken wings tasted like chinese chicken wings marinated with soy sauce, didn’t taste Japanese at all. It was my first time being to this restaurant and the waiter didn’t even know what to recommend, they recommended something wrong -the tantan ramen, in which, when I talked to my friends later on they told me the waiter should have recomented the black oil ramen. Also, they didn’t have alcohol but it was on the menu. Overall, very dissapointing experience - small serving size, poor service. The experience was so bad that I didn’t even wanna give tips.They should have learnt about the service and portion size from Kenzo Ramen.
28;Radek R;15/07/18;5;0;Ramen to beat in Mississauga. Time for Kenzo to step up their broth game. Authentic, decent portions, reasonably priced....
29;Xenia Gonzales;17/07/18;3;0;I've been a fan of Sansotei ever since I tried it. I used to trek all the way to the Markham and North York locations just to have it. I was excited to have the Square One location open, as it was close to work. The ramen is great. However, the service at the Square One location needs work! Staff aren't as attentive. I got extremely disappointed after my second visit. It wasn't even busy. I kept eyeing the waitress who took our order, as we kept waiting and waiting for our food. Finally when I caught her attention, I asked her where our ramen was, and she said she forgot to put it in and that it would be another 10 more minutes. We waited over 30 mins for ramen during 1:30-2:00pm. Non-peak hours, and certainly not busy enough to warrant this mishap.
30;St W;18/07/18;4;1;So this is close to same named Ramen resto in downtown Toronto near Dundas Square. Good broth, very similar, but slightly different menu. You have the option of thick or thin noodles and they have chicken sides not offered at the downtown location. I tried the slow cooked chicken., which seems to be marinated then bbq'ed and out in a slow cooker. It came out very tender and very different than the usual chicken karage offered in most ramen places. Table service was good but the wait for food was a fairly long and there weren't a lot of patrons. Since the mall is so big I called for their closest big box store so I wouldn't have to walk all over the mall. It is near entrance 8 which is the one closest to Walmart on the north side.
32;Todd;23/07/18;5;0;I was pleasantly surprised. I enjoyed the spicy Ramen and the fried chicken (I forget the menu names). Service was good but it was a Monday afternoon and not too busy. Next time I am at square one I will go again.
35;Alan Bach;29/07/18;4;0;"Decent ramen, not good enough for me to crave; as I will still venture downtown for my ramen cravings but very respectable as a local Mississauga ramen location. Service is on point, fairly nice looking decor however the seating, walkway and overall space is very limited. Sitting at a tables along wall, the servers are already having difficulty bringing the bowls to the table due to narrow paths between the rows. I would imagine in winter when winter jackets are hung behind seats and when the floors are wet this will be an issue. Small nitpicking or head-ups, any ramen extras will be served in the ramen bowl. So if you wish to share extra chashu (say if you do not wish to eat all the pieces) you'll have to dig through each other's bowls and having all the corn put in at once will cause the corn to sink to the bottom of the bowl."
36;David Cheng;30/07/18;4;0;Small cozy Japanese ramen place. Ramen was good, service was good but really don't enjoy their music.
37;DrS;06/08/18;1;2;(Translated by Google) There are vacant seats not allowed to sit, thinking that someone has a reservation or something. What's the point of waiting ten minutes and letting us sit in the same empty seat?
38;RONG DENG;06/08/18;1;2;There are few empty tables inside , however the waitress let us wait around 10mins by stand by the door, then , lead us straight to an available table. I can not understand the waiting for why...
39;J R;07/08/18;4;0;"Coming around here around lunch time for me is pleasant as it’s not too busy . Tonkotsu  black ramen and if you don’t like your broth to thick ask for extra broth on side ;)"
40;Jessica N;09/08/18;3;0;"Ramen is okay. Everything in the bowl seemed to be a flavour of its own; no 'marriage' of flavours. And temperature of the broth was a bit cooler than I'd preferred. Wait time was long on a Tuesday evening.Decor is nice. Non-Japanese staff still call out Japanese greetings albeit half-heartedly and timidly and not as loud as you'd expect. Kitchen staff are very young. Overall it seems like this location is still trying to get the hang of things."
41;Serena Li;16/08/18;2;0;Service was average. Food was okay. We ordered two ramens  one was the spicy one with extra noodles and one was the miso black. When the food a came my bf asked if it was extra noodles like he asked the girl said yes and then she comes back and said it wasn't so she will bring it on the side. He knew by the looks of it in the beginning that it wasn't extra noodles since he got that last time and the portion was off. Anyway she came back with the noodles and he put it in his bowl and asked her for more soup since now the bowl is full of noodles and barely any soup left. She asks the chef N he says no, she comes back saying that's the usual portion for soup even adding extra noodles. So they mess up and tried to lie in the beginning and then they couldn't just give us more soup. At the end when we were paying the extra noodles wasn't charged and my bf thought it was a gesture from them for messing up but it was actually cause the girl forgot to punch it in. She was just clueless.
42;Nicole;17/08/18;5;1;Super cute and cozy! I love the sansotei downtown and was excited when this one opened up. The food is good and the staff was extremely attentive when I visited! It is small though so be careful when bringing larger groups (>4) or during busy hours.
44;Aks S;20/08/18;3;0;We went for lunch on the weekend and surprisingly, didn't have to wait. There were a lot of open tables. Both hubby and I ordered spicy tantan ramen. It took a really long time for the food to come, specially since it wasnt so busy. The ramen was ok, I was disappointed by the portion of meat that it came with. It used to be a bigger piece, now its a thin slice of pork. This place is a bit difficult to find, through the mall as a FYI.
45;Hollies;25/08/18;5;2;The best Japanese Ramen in Mississauga. You won't be disappointed.
46;Anthony Le;25/08/18;4;0;The ramen is good, but the portion sizes are pretty small for the price. Service was great and really fast.
47;HoshinoArika;26/08/18;5;0;fantastic
48;K S;26/08/18;5;0;"I went on a Saturday afternoon at around 2 and there was a line-up of people waiting to get a table. The location is great because it's right on square one. The wait wasn't that long though; we got a table after waiting for like 10 minutes. The staff were friendly and attentive; the service was quick. The ramen was delicious. I ordered the tonkotsu ramen with thick noodles and asked if they could make it less salty and oily, and they did! The ramen was so much better than the other ramen places I've been to! The broth was not too salty (I didn't need to gulp down water after drinking the broth and I actually finished drinking all the broth) and it wasn't oily at all. The noodles were perfect as well. Price was cheap. Will definitely come again!"
49;Bob W;27/08/18;5;0;Ramen very rich in flavor
52;Aaron T;03/09/18;3;0;Overall great flavors. However I found the broth to be a little more on the warm side rather than hot. Price is on par with most ramen restaurants which is fair. I went on a Saturday around noon and there was a slight wait to be seated, turn over for tables happened fairly quick.
53;Charlotte Urieta;07/09/18;3;0;Let me start with the positives: They have Tantanmen - that’s the spicy ramen and not all ramen places have that, so that’s a plus. My kids ordered Tonkotsu and Shoyu- they both taste good but I think the Shoyu tasted better between the two. All ramen bowls come with a soft boiled egg which is nice because other restos have additional charge for the egg. I think they can improve on a couple of things: For one, the serving size is small. Also, they need to improve on how they seat their customers. Because once the table becomes available, they need to call for the person next in line instead of just waiting for the customers to keep checking in if their table is already available. Maybe follow how Kenzo and Kinton Ramen do it. Lastly, (and maybe this is just me because I have a sensitive sense of smell), they need to have a more sanitized way in cleaning their tables and glasses because during our visit, it really smelled like dirty rag. I had to re-wipe our table with my pocket wipes. Ending it with the fact that the server were nice and friendly.
54;J Lam;08/09/18;4;0;Quick and efficient in greeting and seating. Flavours was balanced. Miso Black was not overly salty or spicy.
55;Ben Cherian;09/09/18;4;0;Micro ramen shop. Always packed. Broth is excellent. Service is friendly and fast.
56;Nan Yi (Vivian);09/09/18;5;0;the Ramen is sooooooooo delicious. and also zangi chicken is also soooooooo delicious. I love Sansotel!
57;Prerit Ahuja;10/09/18;5;0;Always good!
58;lianne huynh;11/09/18;5;1;I've had nothing but amazing experiences every time I eat at Sansotei! The food is unlike any other ramen I've had and everyone should try the zangi because it's so addicting! The service is consistently super quick and very friendly every single time I've gone. I would come back all the time if I didn't live so far!
59;Fabian Lee Wing;16/09/18;5;0;Best ramen in Mississauga. Broth is by far the tastiest.
60;Mee O.;20/09/18;4;0;Good flavorful broth but a tad too salty. Noodles have good chew and the pork chasu was really good!
62;Chaoze Liu;27/09/18;1;2;bad service. they got empty seat but we are not allowed to seat.
63;Daniel S.;29/09/18;5;0;Love this place/chain. They have one of the best ramen broths. The only thing is there is usually a line because the place is small.Their ramens are top quality and I definitely recommend ordering a side of Zangi chicken. The peach sake is also very good.
64;A HM;02/10/18;2;2;Ramen was okay. Got the tonkotsu black because it was recommended to me as the most flavourful. To be honest, I still found it average and lacking. It was interesting that it came with an edible orchid flower. We also ordered the spicy slow cooked wings and beware that these aren't your traditional wings. They were wet and were more like chicken in a soup.. we didn't like it all. I won't be back. I think there are other ramen places out there with more flavour and more filling portions. The waiting time here can also get pretty long
65;Marck Bernal;05/10/18;4;0;Excellent ramen and customer service. I’ll suggest a pager system for long waits.
66;Ryan Saavedra;07/10/18;1;1;Place is very disorganized. I get it that there’s a line and wait times can vary based on completed tables. However, you can just tell people to wait, telling them in 10mins then all of a sudden after 10mins it becomes 30mins when clearly there are tables around.
68;Ramona Srinivasan;10/10/18;5;0;Delicious food, served in an authentic Asian ambience! The staff was thoughtful and helpful, in selecting the best dishes for me. Portions are sizeable too! I look forward to dining here soon!
69;Martin Truong;11/10/18;5;0;Better than most Ramen places in Mississauga in my opinion.
71;Lisa Yao;13/10/18;1;4;I would give 0 stars if I could. 2 of us came at 6pm today and told Sansotei we have a group of 6. They sat us down at a table for 4 and told us when the rest of us get here they can accommodate us by adding a chair or if the table beside us clears up we can take a table from there. BUT when we all got here, the server refused to give us an extra chair and said they're not able to serve a group of 6 (she said maximum a group of 5 is allowed???). Basically she told us to leave. Never come here if you expect basic human decency and integrity from a restaurant!! 😠 Management clearly did not give a damn and never showed up to explain.
72;Michelle H.;20/10/18;3;1;"To be honest, I was quite disappointed with my experience here. The portions were very small, the ""filling"" seemed sparse, and the broth was rich but too salty to enjoy. The flavors definitely aren't bad -- the pork belly and soft boiled egg are actually quite good. But if I'm paying $14+ for a bowl of ramen, I expect it to be much more satisfying. Definitely not what I remembered Sansotei in Toronto to be like. I will not be returning."
74;Phil M;21/10/18;2;1;Ramen came lukewarm, noodles weren't warm either. Bamboo shoots were almost ice cold... egg wasn't fresh either. Definitely don't recommend. However, the broth did have flavor, so that's at least a plus.
75;Fortuno Cheung;26/10/18;5;0;Good food with good service! Will visit again! But will avoid busy hours.
78;ACEagle HD;28/10/18;5;0;Fell in love with the Sansotei on Dundas downtown so I thought I’d try this one. It did not disappoint. Delicious as always.
81;J Sila;30/10/18;5;0;The food was 3.5, but the service made it 5 stars.
82;AGATHA SADEWA;30/10/18;5;0;Good food, excellent service by all the servers especially jessica. Nice addition to sq1 eatery that's been getting dull tbh
83;Adriel Firtandi;30/10/18;5;0;Tastes great!!
84;Peter T;30/10/18;5;0;Jessica is the best server ever. 11/10! A+
88;Domenic Conte;03/11/18;4;0;Limited menu with very small options.  Both food and beverages.
93;王志超;07/11/18;4;0;(Translated by Google) Okay, deduct one star, because the service is not good
95;Glen Gamo;08/11/18;5;0;Just great. And the zangi awesome
96;Nathan Lee;08/11/18;5;0;Good food, great service. The tall waitress was really nice.
100;Minne mouse;17/11/18;2;1;Expensive for too little food
101;Ricky Lie;19/11/18;1;1;The service was great and friendly, but the ramen noodles was not authentic, the broth was very salty and pork was too fatty and had weird flavour. The gyoza also didn't taste good at all .
103;Celine Gonzales;20/11/18;4;0;Had surprisingly very flavorful broth which is such a rarity into non-japanese staffed chain. They give you a lot of noodles (warning: don't order extra. I regretted it the last time). Its only a 4 because their charsiu was not great. Charsiu should be melt in your mouth, fatty and soft pork belly. Theirs was  dry and only gave you very little amount in comparison to other places so you'll definitely need to order more of it.
104;Joseph Vrian Zabala;21/11/18;3;7;We've had better ramen to be honest, I personally thought the portion was small and it left me still hungry. I had the Miso Black, broth was watery and didn't have enough meat on it. Noodles should've been plentiful. For it's price, I was left dissatisfied with the quality of food. I wish I can recommend it but this place is a pass for me.
105;tiger wu;25/11/18;4;0;Pretty tasty ramen and presentation definitely instagram worthy.
106;Therese Nazareno (Thea);25/11/18;4;0;Great food but just be prepared to wait for a long time. Seating is limited. Menu is straight to the point.
107;jordan mcbride;27/11/18;4;0;Okay priced ramen. Had one recommendsd by a friend, but it wasn't anything to write home about.
109;Andrew Y.;29/11/18;5;1;Tonkatsu black is really good
110;Darel Simpson;01/12/18;5;0;The tables were a little tightly packed, but the food was delivered super fast.  I've come to love Ramen soup places.  The noodles were nicely firm and the pork belly almost melted in my mouth.  Would go again.
118;Robert George;03/12/18;3;0;Nice little Japanese restaurant. Small menu though!
120;Vivian Liu;08/12/18;4;0;Followed the sandwich sign in the mall to this restaurant which is curiously between sets of entrance doors at Square One. A small but busy place. My order came quickly and the ramen was quite delicious, with very flavourful broth and tasty noodles and toppings. The seating is quite snug as tables of diners are almost butted up against each other, but the service is very courteous and comes with a smile. Did wish they had free Wi-Fi though, but not a huge deal.
123;Brian S;15/12/18;3;2;Overall not too bad. Only wait a few minutes. Food in general was ok. Surprised there wasn't more variety in the ramen (broth choices, noodle types..). The most points would have to go toward the ambience and presentation for sure. Still, not a place unworthy of crossing off your ramen joint list. Why not try all three in Mississauga and post your preference.
124;Mathew Salama;15/12/18;4;0;Broth was rich and good but the portion could be bigger
125;Arin Goswami;15/12/18;5;0;Best ramen in Sauga
126;reynard lopez;16/12/18;1;4;Sorry,  no better than instant noodles.  Quality is inferior specifically  when I took my first slurp of the broth.  I was expecting piping hot. It was warm and the egg was cold. 3 times I've been here thinking that it might get better.  Nope. You could really do better.
128;BubbleTea;17/12/18;5;0;Perfect 😍❤️
129;Peter V;18/12/18;5;0;Very attentive service, busy but quick.  Ran out of baboo shoots day I was there (3 hours before close) Great meal for $15
130;Feby Liemor;18/12/18;5;0;Fave food is black tonkatsu.. Nice place n customer service n of course delicious ramen.
133;Bradley Darwin;19/12/18;4;1;Delicious ramen. I ordered the Tonkatsu, along with an extra egg and some fried chicken on the side. Everything was prepared quickly. The broth had a wonderfully deep roasted pork flavor, and is well balanced. Noodles (I ordered thick) were just right, with a good bite and picked up lots of the broth. I would have loved to see more of the add-ins in the soup, but it's not like they were skimping out. The fried chicken was fine, nice and crispy, but largely forgettable. The soup alone was worth the trip though, and I'll be back again. Be prepared to wait in line to be seated.
136;LEXY LIN;23/12/18;2;5;I’d like to separate comments into 2 aspects. First, in terms of the food, the ramen is very good that is worth to try. However when speaking of service, awful service! This is the first time that we didn’t give tips to a service. We waited in line with my boyfriend’s name registered. The waitress never called us until I realized something is wrong because people who came later than us even went inside before us! So we confirmed with the receptionist. She said she called the name, but that’s not possible as none of us hear it and we were right out of the door (they required customers to wait outside). Then they offered no apology at all and kept letting later customers enter and kept us still waiting for a while. We were very unsatisfactory with this behavior and the way they treated customers.
137;Victor Victor;23/12/18;5;0;Excellent ramen. Try the fried chicken.
138;Kim Le;24/12/18;5;2;Some people tried to steal our table. The nerve of some people. The waitress was very kind and apologized to us even though we knew it wasn't their fault. The food came out quickly and was delicious. The only thing I can say needs improvement is the line system so vultures aren't able to take tables.
141;Chelsea Nguyen;27/12/18;5;0;Great ramen/side dishes and amazing service. **they have beer and sake too**
142;Stephanie Samuel;28/12/18;4;0;The ramen was pretty good,  the broth was delicious. The restaurant is quite tight, I didn't enjoy the pork, it had an odd taste. Will be back tho!
143;MICHELLE “STARMIE G” TAT;28/12/18;4;0;Taste consistent to the other sansotei's. Dont go in a big group
145;Craig D;29/12/18;5;0;Great ramen! No longer need to travel downtown. Service was excellent. Although it was a tight space they accomodated a baby. No rush or lineup saturday lunch at 11:30am. The food comes out within 3mins! Worth trying out for sure.
147;Herman Li;02/01/19;1;5;Generally speaking my experience with the quality of food at Sansotei is good like all of the other franchises, but this one was terrible. One of the waitress carried a tray of tall plastic cups all of which were very full and as she was placing the tray down onto our table, the weight of the tray tilted the cups downwards and ultimately poured the entire glass onto my mom's body. The waitress apologized and got a mop to also clean up the place offering paper towels, but the damage control wasn't enough. Water was spilled inside of her purse and her bottoms were wet. Our original waitress was so embarrassed that she switched to a different waiter to serve our table instead. Now, the manager who I presumably believe is a man with a cap with his arms crossed in the kitchen doing nothing but overlooking the entire restaurant and witnessed the entire situation, did absolutely NOTHING to help the situation. At the very end, we received the bill like a normal guest would. The least of my expectation is some sort of recognition of a fault made by their service team whether that be a discount off bill, one meal off, or I would've even accepted their future offer of a discount later. All of which damage control methods were not considered and I'm truly disappointed that they would've think that essentially ignoring an incident that happened, is a valid action of its own. The negligence of their own staff is the accountability of management which they failed to respond to appropriately. I do not recommend this restaurant to fellow foodies, as we know that accommodation is not their strong points as like in other ratings you can see from others.
148;Duncan Li;02/01/19;1;4;I've been to this location several times, it is a small hidden joint at the Dollarama/Laura Secord entrance. There is usually a wait since it is a smaller restaurant, but they do not take your phone numbers down, so do not expect them to call you when a table is ready, you will have to be there physically when they call your name or you will miss your spot. Ramen selection is limited, but the quality is above average/good. Prices are reasonable. The reason for my 1 star review is because of a poor experience we had where the waitress spilled an entire cup of water onto one of us. You only get to witness true customer service in scenarios such as this, and this was completely lacking. She brought over a roll of paper towels to wipe the ground, not even for the guest to wipe off, and then brought a mop once she realized paper towels wasn't going to cut it. The guest, her sweater, her pants and her purse were drenched in water. The waitress was apologetic but nevertheless ruined the entire experience. The 1 star is for a complete lack of customer service.
150;Song-e Baek;04/01/19;4;0;Always line up and you hve to wait around so that u can hear the name called otherwise you gonna loose your spot. Wish they have the ring system. But the food is amazing…
151;Miko Taruc;04/01/19;4;0;The tonkotsublack ramen tasted pretty good. Strong flavour for a decent price. The chicken wings and gyoza were mediocre though. Stick with ramen when you go here.
152;Jeet Johal;05/01/19;5;0;Great place
153;Jolie Leung;06/01/19;3;0;Solid 3 stars, no doubt. Biggest disappointment was that the egg was not marinated in Marin at all, and if it was, there was no taste or egg consistency that it was marinated. Get thick noodles. Thin noodles didnt have the bite that ramen usually has. The cut of pork belly was decent, but it was cut so thinly that it takesaway from enjoying a nice cut of pork.  Portions are small, but comparable to other ramen places. Tonkotsu ramen was a salty mildly creamy broth. It didn't taste like a pork based broth at all.
154;Sean Dawson;07/01/19;5;0;Curated menu of interesting ramen combinations. Pretty good and not too pricey.
155;Jim Tam;10/01/19;3;0;Overhyped,  soup tasted like it was from a can and meat was overcooked, also very limited selection on the menu.
156;Aldous Mendoza;10/01/19;4;0;Very rich broth with each variation of ramen.
157;Chris Hayes;10/01/19;5;0;Beautiful food
158;Blaise Wong;12/01/19;4;0;Pretty authentic looks, but not as fun as downtown locations. The food is very good, and should be a priority if you have a ramen craving while shopping at Square One.
159;Julie Faibish;12/01/19;4;0;Broth was warm and enjoyable, noodles were well cooked. Flavours were nice, however slightly on the oily side. The wait  staff was attentive. Only a 15 min wait time on a Saturday afternoon.
162;Dean Johnston;13/01/19;5;0;Since I have been on a ramen tour lately I had to try Sansotai at Square One. I had the Tonkatsu Black Ramen. This Ramen comes with black garlic oil, hence the name. This ramen has a very rich flavour, that packs a little more punch than standard ramen. Simply delicious.
164;Peter Hayek;16/01/19;2;1;Not the best location
165;Jess Nguyen;16/01/19;5;0;AMAZING!!
167;John Pack;18/01/19;2;1;Served Ramen and gyoza were cold
168;A Pua;20/01/19;4;1;Good ramen and appetizers. Fast service
169;Menroth;20/01/19;2;2;Bland and cold, can not even compare to Kenzo sadly.
170;vnyvc;21/01/19;4;0;We luv the spicy tantan and the employees. But the Gyoza and Fried Chicken can be better.
171;Tien Dang;22/01/19;5;0;Food is good. Love the Black Tonkotsu from Sansotei 👌
172;AZ W;24/01/19;5;0;I'd say I come here almost everyday. The waitresses know me well, so far I haven't experienced any negaive situation. Broth is definitely the best in town.  So are the pork and sides. The only bad thing, as most customers stated, the space is tight and narrow, it's common to wait 30 min during peak hours. I'd suggest avoid peak hours if you don't wanna spend too much time on waitlist.
173;Liza Solomon;26/01/19;4;0;Polite quick service
174;Eric J;27/01/19;3;0;The first time we came here when it first opened they had a ventilation problem and the place was filled with smoke. They have since fix the problem and although the ramen is very good we still prefer Kinton has they have a loyalty card, more selection, more space and food is tastier. Having said that this place is a good alternative as it's conveniently located within Square One. Perfect for a cold winter night when you don't want to step foot outside.
175;Ann Nguyen;28/01/19;4;0;Food is good, lots of fruit flies around.. Pretty unappetizing
176;Reeshma Marie Ramnarine;28/01/19;5;0;Really enjoyed this place! Very fast and cute atmosphere. Our waitress was very friendly and explained our options with clarity with regards to taste. She also gave honest opinions on our choices which was wonderful. A tad bit pricey. Spacing between tables is little but it makes for a cozy place - indictive of some restaurants in Japan! I would definitely go back!
178;Annika Ang;02/02/19;4;0;Enjoyed the ramen! Glad to see another ramen place this time popping up in square one. Also tried the gyoza, which was tasty and well-fried, and the mango cheesecake, which was good but super tiny even for just $3.50.
182;Michelle Peng;05/02/19;4;0;Ramen is pretty good, have gotten it more than once! I could probably do without the appetizers though
184;pepsi sisu2;07/02/19;1;2;DO NOT COME HERE, Worst ramen place, the chicken was raw and the server spill it on our clothes, and she did t even apologize and act like nothing happened and left.
